point_index,V_m,R_m,A_m,V,R,A,E_m,E,DATA_time,GPS_time_in_data,Iframecnt,SNR
1,-12.073412895202637,2.3576626777648926,-33.612266540527344,0.0,2.3467321395874023,-33.941932678222656,-0.17701838910579681,-0.3853573799133301,41162.798,12362798.0,1876.0,29.188955307006836
2,-12.205061912536621,2.3654561042785645,-34.01804733276367,0.0,2.35768723487854,-33.94503402709961,-0.3175947368144989,-0.5290075540542603,41163.618,12363618.0,1877.0,33.25166702270508
3,-12.284895896911621,2.3735246658325195,-34.645668029785156,0.0,2.3679659366607666,-34.1259880065918,-0.0730576291680336,-0.5564333200454712,41164.437,12364437.0,1878.0,32.346412658691406
4,-12.344715118408203,2.383577346801758,-34.04557418823242,0.0,2.3780322074890137,-34.202903747558594,-0.43093743920326233,-0.5957857370376587,41165.256,12365256.0,1879.0,34.02293395996094
5,-12.520234107971191,2.3943755626678467,-34.05921936035156,0.0,2.388270854949951,-34.22218704223633,-0.13488012552261353,-0.5674323439598083,41166.075,12366075.0,1880.0,34.626529693603516
6,-12.31089973449707,2.403759241104126,-34.39340591430664,0.0,2.3983640670776367,-34.27644348144531,-0.12007462978363037,-0.4950481951236725,41166.895000000004,12366895.0,1881.0,33.01263427734375
7,-12.19826602935791,2.4142823219299316,-34.070899963378906,0.0,2.4084675312042236,-34.2739372253418,-0.3939858376979828,-0.4613446593284607,41167.714,12367714.0,1882.0,36.093299865722656
8,-12.276941299438477,2.4240119457244873,-34.531280517578125,0.0,2.4184648990631104,-34.33235168457031,-0.25332874059677124,-0.4228063225746155,41168.532999999996,12368533.0,1883.0,35.728302001953125
9,-12.252883911132812,2.434934616088867,-34.681427001953125,0.0,2.4286768436431885,-34.446224212646484,-0.07385103404521942,-0.34737032651901245,41169.352,12369352.0,1884.0,38.01112365722656
10,-12.365715026855469,2.4454829692840576,-34.98256301879883,0.0,2.439055919647217,-34.63154602050781,-0.3476805090904236,-0.31214967370033264,41170.171,12370171.0,1885.0,35.27220916748047
11,-12.509625434875488,2.4556353092193604,-34.90584945678711,0.0,2.449462413787842,-34.80962371826172,-0.5284281373023987,-0.3439585864543915,41170.991,12370991.0,1886.0,37.60044479370117
12,-12.590563774108887,2.4645657539367676,-35.01826477050781,0.0,2.459523916244507,-34.97006607055664,-0.6226971745491028,-0.4259062111377716,41171.81,12371810.0,1887.0,37.35816192626953
13,-12.746729850769043,2.4750914573669434,-34.73735427856445,0.0,2.469639778137207,-35.03529357910156,-0.44214555621147156,-0.484091579914093,41172.629,12372629.0,1888.0,36.24858093261719
14,-12.917113304138184,2.484083890914917,-35.17985916137695,0.0,2.4795334339141846,-35.11935806274414,-0.45290374755859375,-0.5171724557876587,41173.448000000004,12373448.0,1889.0,35.38326644897461
15,-12.906795501708984,2.4954912662506104,-35.39529800415039,0.0,2.489778757095337,-35.24358367919922,-0.7019901275634766,-0.5789480209350586,41174.267,12374267.0,1890.0,34.22376251220703
16,-12.894572257995605,2.507319927215576,-35.848751068115234,0.0,2.5005252361297607,-35.45561981201172,-0.7513444423675537,-0.6569079160690308,41175.087,12375087.0,1891.0,36.30291748046875
17,-12.831317901611328,2.5158884525299072,-36.13981246948242,0.0,2.5108633041381836,-35.7391357421875,-0.8555743098258972,-0.7503188252449036,41175.906,12375906.0,1892.0,34.85454559326172
18,-12.836403846740723,2.528094530105591,-36.081783294677734,0.0,2.521530866622925,-36.002044677734375,-0.563942015171051,-0.7789209485054016,41176.725,12376725.0,1893.0,34.92945861816406
19,-12.81745433807373,2.537982225418091,-35.96217727661133,0.0,2.5320987701416016,-36.17661666870117,-0.758928120136261,-0.7994096875190735,41177.544,12377544.0,1894.0,33.50093078613281
20,-12.943413734436035,2.5491440296173096,-35.95630645751953,0.0,2.5427932739257812,-36.26587677001953,-0.6807771325111389,-0.7974244356155396,41178.363,12378363.0,1895.0,33.507301330566406
21,-12.833585739135742,2.5612473487854004,-35.663063049316406,0.0,2.5538747310638428,-36.235050201416016,-0.93303382396698,-0.827849268913269,41179.183000000005,12379183.0,1896.0,33.10848617553711
22,-12.739137649536133,2.5704638957977295,-36.10145568847656,0.0,2.564589023590088,-36.213253021240234,-0.7676958441734314,-0.8440482020378113,41180.002,12380002.0,1897.0,34.159873962402344
23,-12.724928855895996,2.581678628921509,-36.2410888671875,0.0,2.5752828121185303,-36.23134231567383,-0.8816700577735901,-0.8681699633598328,41180.820999999996,12380821.0,1898.0,34.37200164794922
24,-12.712664604187012,2.5924391746520996,-36.47453689575195,0.0,2.5859882831573486,-36.312042236328125,-0.5016666650772095,-0.819709837436676,41181.64,12381640.0,1899.0,34.94645309448242
25,-12.670557975769043,2.6016147136688232,-36.460514068603516,0.0,2.5963029861450195,-36.40957260131836,-0.8671455383300781,-0.8032935857772827,41182.459,12382459.0,1900.0,34.77668762207031
26,-12.552862167358398,2.610295295715332,-36.617225646972656,0.0,2.606065034866333,-36.52555847167969,-0.5668484568595886,-0.7525646090507507,41183.279,12383279.0,1901.0,32.79664993286133
27,-12.581450462341309,2.6192336082458496,-36.792362213134766,0.0,2.615445613861084,-36.66334915161133,-0.7047380805015564,-0.7145933508872986,41184.098,12384098.0,1902.0,31.70706558227539
28,-12.852642059326172,2.632316827774048,-37.219032287597656,0.0,2.625708818435669,-36.86891174316406,-0.3947046101093292,-0.6326624155044556,41184.917,12384917.0,1903.0,30.541759490966797
29,-12.644051551818848,2.6418137550354004,-37.02748107910156,0.0,2.636080265045166,-37.04385757446289,-0.8952465653419495,-0.6313703060150146,41185.736000000004,12385736.0,1904.0,32.518714904785156
30,-12.223913192749023,2.653703212738037,-37.42056655883789,0.0,2.646757125854492,-37.2418327331543,-0.6961040496826172,-0.642001211643219,41186.555,12386555.0,1905.0,33.47569274902344
31,-11.956128120422363,2.662654161453247,-37.459991455078125,0.0,2.6569690704345703,-37.4266471862793,-0.5310803055763245,-0.6249951720237732,41187.375,12387375.0,1906.0,34.565284729003906
32,-11.873529434204102,2.674163341522217,-37.74275207519531,0.0,2.6673169136047363,-37.623416900634766,-0.6109991073608398,-0.6087361574172974,41188.194,12388194.0,1907.0,32.53069305419922
33,-12.170260429382324,2.6835172176361084,-38.34201431274414,0.0,2.6774840354919434,-37.90201187133789,-0.2525595724582672,-0.531425416469574,41189.013,12389013.0,1908.0,32.17705154418945
34,-12.391871452331543,2.6930365562438965,-37.92299270629883,0.0,2.687523126602173,-38.10663986206055,-0.4667311906814575,-0.4674670696258545,41189.832,12389832.0,1909.0,33.40549850463867
35,-12.311861038208008,2.7043204307556152,-37.81074142456055,0.0,2.6978654861450195,-38.20643997192383,-0.5778868794441223,-0.4453568160533905,41190.651,12390651.0,1910.0,32.48348617553711
36,-11.995025634765625,2.7116994857788086,-39.36326217651367,0.0,2.707545757293701,-38.49952697753906,-0.5814893245697021,-0.4491960406303406,41191.471,12391471.0,1911.0,31.236366271972656
37,-11.852442741394043,2.72226619720459,-39.5478630065918,0.0,2.7171084880828857,-38.92282485961914,-0.27003490924835205,-0.41729119420051575,41192.29,12392290.0,1912.0,29.75052261352539
38,-12.004019737243652,2.732950210571289,-38.94473648071289,0.0,2.726975202560425,-39.22012710571289,-0.11121734231710434,-0.33418363332748413,41193.109,12393109.0,1913.0,28.37986946105957
39,-12.171189308166504,2.74064302444458,-40.06195068359375,0.0,2.7364134788513184,-39.59785079956055,0.1958358883857727,-0.1834007054567337,41193.928,12393928.0,1914.0,28.406946182250977
40,-12.33660888671875,2.7528159618377686,-39.931583404541016,0.0,2.7464683055877686,-39.934444427490234,-0.5363064408302307,-0.14727887511253357,41194.747,12394747.0,1915.0,28.41836166381836
41,-12.41749382019043,2.761087656021118,-40.03336715698242,0.0,2.7562906742095947,-40.20149230957031,-0.3635673224925995,-0.16064368188381195,41195.566999999995,12395567.0,1916.0,29.185504913330078
42,-12.55616569519043,2.7707648277282715,-40.6978759765625,0.0,2.7660255432128906,-40.505863189697266,0.48358187079429626,-0.04316757246851921,41196.386,12396386.0,1917.0,25.865909576416016
43,-12.726675033569336,2.77874493598938,-39.74199676513672,0.0,2.7754197120666504,-40.62059020996094,-0.17137856781482697,0.019111275672912598,41197.205,12397205.0,1918.0,25.045644760131836
44,-12.998906135559082,2.7934131622314453,-38.8324089050293,0.0,2.7863478660583496,-40.21482467651367,-0.6957334876060486,-0.15048982203006744,41198.024,12398024.0,1919.0,24.385189056396484
45,-12.925092697143555,2.8052430152893066,-41.54179000854492,0.0,2.797290563583374,-40.48129653930664,0.30503085255622864,-0.06702043861150742,41198.843,12398843.0,1920.0,23.42779541015625
46,-12.996650695800781,2.816525936126709,-40.18852996826172,0.0,2.8086862564086914,-40.609310150146484,-0.039331186562776566,-0.012026622891426086,41199.663,12399663.0,1921.0,25.28915786743164
47,-13.067855834960938,2.825772762298584,-40.611572265625,0.0,2.819708824157715,-40.71044921875,0.13177646696567535,0.050150711089372635,41200.482,12400482.0,1922.0,27.739173889160156
48,-12.736339569091797,2.8358354568481445,-40.52399444580078,0.0,2.8303046226501465,-40.756927490234375,-0.11616255342960358,0.0609624870121479,41201.301,12401301.0,1923.0,23.98086166381836
49,-12.386550903320312,2.839146375656128,-39.497520446777344,0.0,2.8392722606658936,-40.622013092041016,-0.18501810729503632,0.032950762659311295,41202.12,12402120.0,1924.0,24.880916595458984
50,-12.386547088623047,2.855750799179077,-40.4087028503418,0.0,2.8491299152374268,-40.506141662597656,0.5453758835792542,0.11151374131441116,41202.94,12402940.0,1925.0,24.47210693359375
51,-12.557549476623535,2.866109609603882,-40.277496337890625,0.0,2.859494686126709,-40.412506103515625,0.31179192662239075,0.20467685163021088,41203.759,12403759.0,1926.0,25.033187866210938
52,-12.36069393157959,2.8763837814331055,-41.04922103881836,0.0,2.8700110912323,-40.488277435302734,0.1956167370080948,0.271295428276062,41204.578,12404578.0,1927.0,23.224027633666992
53,-11.962516784667969,2.8872687816619873,-40.9210205078125,0.0,2.8805551528930664,-40.630859375,0.37045374512672424,0.33626899123191833,41205.397,12405397.0,1928.0,25.32045555114746
54,-11.539847373962402,2.895994186401367,-42.181358337402344,0.0,2.8905692100524902,-40.96854782104492,0.1311580240726471,0.3570869565010071,41206.216,12406216.0,1929.0,23.365079879760742
55,-11.631887435913086,2.906616687774658,-41.34294509887695,0.0,2.900503396987915,-41.277774810791016,-0.1461995542049408,0.2816215455532074,41207.036,12407036.0,1930.0,25.153945922851562
56,-12.09366512298584,2.9145171642303467,-41.26736068725586,0.0,2.9099464416503906,-41.4761962890625,-0.18615494668483734,0.15737470984458923,41207.854999999996,12407855.0,1931.0,27.810455322265625
57,-12.320362091064453,2.928339958190918,-42.07291793823242,0.0,2.920459508895874,-41.724761962890625,-0.02621563710272312,0.05117883160710335,41208.674,12408674.0,1932.0,29.298786163330078
58,-12.299297332763672,2.936500310897827,-42.23923110961914,0.0,2.9307596683502197,-41.99399948120117,-0.5446539521217346,-0.11411582678556442,41209.493,12409493.0,1933.0,30.479278564453125
59,-12.362711906433105,2.946012258529663,-42.10456848144531,0.0,2.9407780170440674,-42.206443786621094,0.17720673978328705,-0.16640989482402802,41210.312,12410312.0,1934.0,29.23041343688965
60,-12.781194686889648,2.9583210945129395,-43.018775939941406,0.0,2.951338291168213,-42.50888442993164,-0.5523883104324341,-0.26918792724609375,41211.132,12411132.0,1935.0,26.355377197265625
61,-12.690230369567871,2.9641928672790527,-42.49675750732422,0.0,2.960963726043701,-42.727359771728516,0.10270415991544724,-0.27452337741851807,41211.951,12411951.0,1936.0,27.010875701904297
62,-12.419811248779297,2.978942394256592,-44.154056549072266,0.0,2.9718716144561768,-43.22864532470703,1.247147798538208,0.08775883913040161,41212.770000000004,12412770.0,1937.0,21.492694854736328
63,-12.251910209655762,2.9850683212280273,-41.80470275878906,0.0,2.9816622734069824,-43.219844818115234,0.7257881760597229,0.4275091290473938,41213.589,12413589.0,1938.0,18.992021560668945
64,-12.251910209655762,2.9850683212280273,-41.80470275878906,0.0,2.9816622734069824,-43.219844818115234,0.7257881760597229,0.4275091290473938,41213.589,12413589.0,1939.0,18.992021560668945
65,-12.251910209655762,2.9850683212280273,-41.80470275878906,0.0,2.9816622734069824,-43.219844818115234,0.7257881760597229,0.4275091290473938,41213.589,12413589.0,1940.0,18.992021560668945
66,-12.6558198928833,3.0299999713897705,-44.150508880615234,0.0,3.0199460983276367,-44.0455322265625,1.5662790536880493,1.0563379526138306,41216.047,12416047.0,1941.0,18.8341007232666
